============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================
Ep 1800/80000 (1959s) | R: -277.3 | SWAPs: 297 | Gates: 48% | Done: 32% | Loss: 0.009 | Q: -2.2 | ε: 0.905 | Steps: 579796 | ep_time: 1.3s
Ep 1825/80000 (1986s) | R: -300.6 | SWAPs: 322 | Gates: 44% | Done: 28% | Loss: 0.009 | Q: -2.2 | ε: 0.904 | Steps: 587851 | ep_time: 1.4s
Ep 1850/80000 (2017s) | R: -350.9 | SWAPs: 364 | Gates: 31% | Done: 12% | Loss: 0.011 | Q: -2.2 | ε: 0.902 | Steps: 596944 | ep_time: 0.2s
Ep 1875/80000 (2047s) | R: -341.2 | SWAPs: 357 | Gates: 35% | Done: 16% | Loss: 0.011 | Q: -2.3 | ε: 0.901 | Steps: 605879 | ep_time: 1.4s
Ep 1900/80000 (2075s) | R: -314.7 | SWAPs: 333 | Gates: 40% | Done: 24% | Loss: 0.013 | Q: -2.3 | ε: 0.900 | Steps: 614209 | ep_time: 1.3s
Ep 1925/80000 (2101s) | R: -281.4 | SWAPs: 306 | Gates: 49% | Done: 36% | Loss: 0.011 | Q: -2.3 | ε: 0.898 | Steps: 621865 | ep_time: 1.3s
Ep 1950/80000 (2129s) | R: -309.2 | SWAPs: 326 | Gates: 40% | Done: 24% | Loss: 0.009 | Q: -2.3 | ε: 0.897 | Steps: 630021 | ep_time: 1.3s
Ep 1975/80000 (2155s) | R: -288.2 | SWAPs: 310 | Gates: 46% | Done: 32% | Loss: 0.011 | Q: -2.3 | ε: 0.896 | Steps: 637763 | ep_time: 1.4s
Ep 2000/80000 (2180s) | R: -282.7 | SWAPs: 300 | Gates: 47% | Done: 32% | Loss: 0.014 | Q: -2.4 | ε: 0.895 | Steps: 645268 | ep_time: 1.3s

--- Evaluation at episode 2000 ---
  EVAL | Agent: 151.5 SABRE: 76.8 | Ratio: 1.24 | Done: 67%
Saved: outputs/run_021/figures/training_curves.png
Saved: outputs/run_021/figures/eval_comparison_ep2000.png
  Saved checkpoint: outputs/run_021/checkpoints/checkpoint_ep2000.pt
Ep 2025/80000 (2238s) | R: -295.0 | SWAPs: 315 | Gates: 44% | Done: 28% | Loss: 0.013 | Q: -2.4 | ε: 0.893 | Steps: 653155 | ep_time: 1.3s
Ep 2050/80000 (2262s) | R: -291.4 | SWAPs: 313 | Gates: 47% | Done: 32% | Loss: 0.011 | Q: -2.4 | ε: 0.892 | Steps: 660981 | ep_time: 1.3s
Ep 2075/80000 (2283s) | R: -243.9 | SWAPs: 267 | Gates: 57% | Done: 44% | Loss: 0.014 | Q: -2.4 | ε: 0.891 | Steps: 667665 | ep_time: 0.3s
Ep 2100/80000 (2313s) | R: -336.7 | SWAPs: 354 | Gates: 36% | Done: 16% | Loss: 0.013 | Q: -2.4 | ε: 0.890 | Steps: 676518 | ep_time: 1.4s
Ep 2125/80000 (2339s) | R: -287.5 | SWAPs: 312 | Gates: 48% | Done: 32% | Loss: 0.010 | Q: -2.4 | ε: 0.888 | Steps: 684309 | ep_time: 1.4s
Ep 2150/80000 (2366s) | R: -294.3 | SWAPs: 312 | Gates: 44% | Done: 28% | Loss: 0.014 | Q: -2.4 | ε: 0.887 | Steps: 692111 | ep_time: 0.2s
Ep 2175/80000 (2395s) | R: -321.2 | SWAPs: 338 | Gates: 38% | Done: 20% | Loss: 0.012 | Q: -2.4 | ε: 0.886 | Steps: 700569 | ep_time: 1.3s
